InstanceID,Season,Year,Month,HourofDay,Holiday,DayofWeek,WorkingDay,WeatherForecast,Temperature,FeltTemperature,Humidity,WindSpeed,DayofMonth,AverageRideDurationPreviousDay_Min,City_Detroit,WeekofYear,RidesBooked
78224,Spring,4.0,May,8.0,0.0,Wednesday,1.0,Mist,17.169999999999998,19.0604,0.83,0.1343,9.0,20.746,1.0,19.0,1866
53017,Spring,3.0,April,3.0,0.0,Saturday,0.0,Mist,9.979,14.422800000000002,0.54,0.194,30.0,25.252,1.0,17.0,51
88477,Fall,3.0,October,17.0,0.0,Tuesday,1.0,Mist,17.169999999999998,19.5772,0.78,0.2537,11.0,29.375,1.0,41.0,1812
21418,Summer,3.0,September,13.0,0.0,Thursday,1.0,Mist,19.567000000000004,20.6074,0.83,0.194,22.0,5.898,1.0,38.0,579
24928,Summer,4.0,June,9.0,0.0,Tuesday,1.0,Clear,16.371,18.547,0.46,0.4179,26.0,30.156,1.0,26.0,984
97116,Spring,3.0,March,12.0,0.0,Monday,1.0,Mist,10.778,14.9396,0.77,0.2537,21.0,6.454,1.0,12.0,243
63199,Fall,3.0,December,2.0,0.0,Thursday,1.0,Clear,3.5870000000000006,7.728200000000001,0.56,0.2985,1.0,5.452,1.0,48.0,27
68699,Spring,3.0,April,9.0,0.0,Friday,1.0,LightRain,6.783,10.302,0.61,0.2985,22.0,10.787,1.0,16.0,585
85698,Winter,4.0,January,20.0,0.0,Sunday,0.0,Clear,-0.4079999999999996,6.1812000000000005,0.37,0.1045,15.0,9.613,1.0,2.0,285
67822,Fall,4.0,December,5.0,0.0,Wednesday,1.0,Clear,3.5870000000000006,9.7886,0.75,0.0896,19.0,19.691,1.0,51.0,93
12835,Summer,4.0,September,18.0,0.0,Saturday,0.0,Mist,25.959,26.27180000000001,0.52,0.0,1.0,19.85,1.0,35.0,1326
38139,Winter,4.0,February,14.0,0.0,Sunday,0.0,Mist,5.984000000000001,10.8188,0.45,0.194,19.0,21.531,1.0,7.0,711
98465,Summer,3.0,August,6.0,0.0,Wednesday,1.0,Clear,17.969,20.0906,0.78,0.0,17.0,12.815,1.0,33.0,315
72376,Winter,3.0,February,15.0,1.0,Monday,0.0,Mist,5.185,9.2718,0.7,0.4478,21.0,11.418,1.0,,261
56852,Fall,4.0,November,19.0,0.0,Sunday,0.0,Clear,7.581999999999998,11.3322,0.43,0.2537,4.0,13.575,1.0,44.0,681
47543,Spring,3.0,April,18.0,0.0,Thursday,1.0,Clear,13.175,16.483200000000004,0.25,0.2836,21.0,29.097,1.0,16.0,1356
98860,Winter,3.0,March,21.0,0.0,Friday,1.0,Mist,5.185,9.7886,0.7,0.2239,4.0,30.223,1.0,9.0,210
78771,Fall,4.0,December,22.0,0.0,Saturday,0.0,Mist,5.185,11.3322,0.87,0.0,1.0,15.851,1.0,48.0,441
26647,Fall,4.0,December,18.0,0.0,Tuesday,1.0,Clear,5.984000000000001,10.302,0.53,0.2239,11.0,29.055,1.0,50.0,1638
69866,Spring,4.0,June,17.0,0.0,Thursday,1.0,Clear,21.963999999999995,22.667800000000003,0.48,0.2239,14.0,26.545,1.0,24.0,2601
58846,Spring,4.0,May,1.0,0.0,Friday,1.0,Clear,11.577,15.453000000000005,0.51,0.1343,11.0,25.89,1.0,19.0,138
63923,Winter,3.0,February,13.0,0.0,Friday,1.0,Clear,17.169999999999998,21.1208,0.43,0.194,18.0,23.846,1.0,7.0,528
36896,Summer,3.0,July,5.0,0.0,Monday,1.0,Clear,18.768,20.0906,0.78,0.1045,18.0,19.173,1.0,29.0,51
28740,Summer,4.0,August,11.0,0.0,Monday,1.0,Clear,22.763,23.698,0.66,0.194,27.0,32.193,1.0,35.0,687
47140,Fall,3.0,November,21.0,0.0,Saturday,0.0,Mist,7.581999999999998,11.848999999999998,0.62,0.194,19.0,32.831,1.0,46.0,324
68957,Winter,3.0,January,12.0,0.0,Sunday,0.0,Mist,7.581999999999998,11.3322,0.66,0.2985,2.0,7.97,1.0,52.0,279
38983,Spring,3.0,June,2.0,0.0,Sunday,0.0,Clear,18.768,19.5772,0.89,0.2537,12.0,13.477,1.0,23.0,198
73564,Spring,3.0,June,4.0,0.0,Friday,1.0,Clear,14.773,17.5168,0.94,0.1343,17.0,25.356,1.0,24.0,18
97230,Fall,3.0,October,14.0,0.0,Friday,1.0,Clear,17.969,21.1208,0.5,,7.0,9.908,1.0,40.0,768
84940,Fall,4.0,November,5.0,0.0,Sunday,0.0,Clear,4.386000000000002,9.7886,0.81,0.1343,18.0,20.237,1.0,46.0,36
21886,Winter,4.0,December,23.0,0.0,Saturday,0.0,Mist,3.5870000000000006,8.241600000000002,0.6,0.0,29.0,30.088,1.0,52.0,96
79290,Summer,4.0,September,6.0,0.0,Wednesday,1.0,Clear,13.175,16.483200000000004,0.72,0.0896,12.0,18.019,1.0,37.0,615
99174,Summer,3.0,July,2.0,0.0,Tuesday,1.0,Clear,20.366,21.6376,0.89,0.1045,26.0,27.472,1.0,30.0,21
88168,Spring,4.0,April,7.0,0.0,Sunday,0.0,Clear,13.175,16.483200000000004,0.63,0.1045,15.0,10.697,1.0,15.0,138
